model,run,condition,seed,subset,n_samples,bleu,chrf,chrfpp,source_file
mbart-fr,exp1,RANDOM-10K,123,combined,1455,2.38,26.01,23.08,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,123,structured,455,2.38,32.6,28.01,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,123,tatoeba,1000,2.34,24.3,21.81,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,2024,combined,1455,2.96,26.99,24.12,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,2024,structured,455,2.95,33.42,28.98,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,2024,tatoeba,1000,2.96,25.34,22.88,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,42,combined,1455,3.3,26.2,23.32,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,42,structured,455,4.93,32.92,28.95,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,42,tatoeba,1000,2.84,24.48,21.86,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,456,combined,1455,3.44,26.72,23.91,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,456,structured,455,4.11,33.04,28.71,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,456,tatoeba,1000,3.25,25.09,22.67,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,789,combined,1455,3.08,26.56,23.6,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,789,structured,455,4.14,34.14,29.72,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,789,tatoeba,1000,2.68,24.62,22.03,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,123,combined,1455,21.65,37.87,36.13,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,123,structured,455,85.43,91.06,90.83,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,123,tatoeba,1000,3.03,24.86,22.25,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,2024,combined,1455,20.84,37.51,35.71,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,2024,structured,455,81.74,89.39,88.82,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed2024/test_predictions.jsonl
